341 1765 96 338 2364 160
407 2179 -128 1289 2246 71
975 2241 13 415 2271 -43
609 2522 96 344 2011 160
345 1864 96 609 2522 143
734 2595 96 898 2649 160
1248 2639 96 1501 2582 139
-1913 2005 12 -1961 1762 96
-1196 1048 0 -1852 1388 96
-1159 1108 -16 -1462 1129 96
-1777 1886 10 -1827 1990 75
-1743 1886 10 -1761 1957 74
-1430 2617 96 -1523 2018 66
-1955 1339 32 -1936 1560 96
-501 1060 -57 28 334 66
-324 878 -13 -151 632 72
-304 920 -18 -192 669 71
208 111 4 -138 519 71
488 67 6 -205 472 69
1113 1061 3 1515 1414 55
167 -564 5 187 -377 69
1417 2621 90 1224 2598 160
-1971 1884 1 -1843 1892 69
-1649 983 32 -1682 948 96
1418 1306 1 591 723 66
-1712 706 32 -1590 441 70
-1681 687 32 -1359 592 79
-1044 1210 -80 -1032 1346 -48
-1746 1105 32 -1373 49 74
-1712 876 32 -1508 442 71
-1415 1186 32 -1714 665 96
-1450 184 7 -1702 53 69
699 810 6 1049 873 67
-489 1052 -57 -401 -75 51
1098 835 2 1594 1844 83
-418 -471 14 -405 -173 72
371 2139 -127 1464 2127 52
1309 2030 4 715 2146 -3
1383 2031 5 160 2384 -63
-1659 879 32 -1684 692 96
-483 217 3 -170 1433 64
1023 2609 96 273 1891 160
1058 2658 96 1048 2870 202
334 1946 96 1019 2703 160
567 2684 96 400 1905 160
641 2254 -79 352 2304 -63
565 2247 -102 256 2304 -62
1549 2694 107 1284 1111 65
720 957 1 993 791 68
1395 2191 7 1311 1843 56
-368 1365 -123 -397 666 68
133 2421 -125 1585 1900 83
1653 1808 33 1166 2090 75
80 2393 -119 1318 2007 68
345 2015 96 1107 2731 160
-1346 2238 3 -2026 1921 48
1550 3040 143 1475 2003 69
1550 3040 143 1341 1597 66
571 702 1 1086 1181 80
654 791 6 1744 929 111
1399 834 3 1550 3040 207
1654 625 64 1283 2720 175
1737 627 64 1273 2071 72
1630 2031 28 1489 1843 68
1238 787 2 1607 1887 71
-424 -964 136 -419 2161 -80
-163 1533 0 -641 1341 -65
428 2261 96 1128 2122 69
-502 -904 140 -340 949 30
338 2187 96 1746 2023 155
-470 1008 -49 -224 755 66
1456 1377 2 1147 1079 65
614 1013 4 1525 1237 78
1206 826 2 1360 1446 65
1525 1897 8 1474 1626 66
-1653 996 32 -1972 1258 96
-849 1453 -112 -966 1451 -48
-1808 -179 29 -1666 894 96
-1844 1270 32 -1476 1154 96
-566 2181 -124 -523 1848 -78
1600 1452 21 1306 1110 65
571 2690 96 1315 2589 151
826 2577 96 670 2649 143
283 1487 0 317 1861 160
652 758 5 1569 1410 81
1245 431 32 1296 2493 113
1263 2950 132 1328 1112 65
1247 2916 132 1365 828 68
-1750 1798 11 -1621 1999 69
-1750 1798 11 -1687 2584 72
-1781 1980 11 -1750 1798 75
-540 612 12 -625 404 73
-1118 1083 -24 -1239 1087 88
-2095 2908 32 -1965 1485 96
-2075 2910 32 -1979 1326 96
-2069 2914 32 -1738 1895 74
-1928 2941 32 -2092 2986 96
-1683 1109 32 -1821 1039 96
-1906 1257 32 -1587 1132 96
-1641 961 32 -1868 1236 96
-2160 1810 12 -1906 1850 66
-1488 -3 96 -1522 -112 100
-1772 1820 10 -1799 2084 76
-1928 1075 32 -1940 1794 96
-405 -915 120 -440 1504 -58
706 1013 2 1307 1051 65
341 2081 -125 1269 2102 72
357 1932 96 339 1379 64
1488 3056 141 1427 870 66
1280 2958 132 1222 2823 194
253 2385 -127 158 2247 -62
-1231 1062 16 -1578 1053 96
287 1823 96 297 1633 72
379 1891 96 296 2088 160
-412 1392 -123 -412 1648 -62
1463 2281 12 807 2211 12
-5 2158 -126 501 2237 -58
76 2201 -126 1008 2384 75
