705 -876 -160 434 -902 -160
1036 -812 -160 821 -877 -96
114 -629 -160 110 -907 -160
312 -452 -160 374 -518 -96
711 -543 -160 436 -541 -96
-1563 -961 -240 -1627 -793 -193
443 -852 -224 440 -1089 -160
174 -378 -160 254 -490 -113
368 112 -160 -389 110 -113
115 -620 -160 53 304 -96
653 80 -160 694 -559 -113
548 -567 -160 697 -377 -96
1036 -863 -160 941 -460 -96
938 -526 -160 1072 -854 -80
1036 -901 -160 977 -10 -96
905 -471 -160 861 -541 -96
654 -362 -160 849 -530 -96
1197 460 -160 1230 136 -96
1590 -494 -160 1804 -472 -94
1872 149 -160 1662 -59 -96
942 41 -160 919 -917 -96
87 -933 -224 16 288 -113
-55 118 -160 150 133 -96
913 -534 -160 467 -416 -113
1441 976 -160 1336 732 -94
1335 -549 -160 1799 -395 -96
1333 -548 -160 1841 -425 -96
17 -2026 -336 97 -1587 -272
-1077 -1867 -336 -1168 -1001 -260
657 -325 -160 596 976 -96
896 906 -160 1405 892 -113
1355 576 -160 1369 753 -96
525 -456 -160 474 -416 -113
898 -514 -160 913 -628 -96
651 -576 -160 714 349 -96
13 -1062 -224 134 -903 -160
76 -588 -160 272 -464 -96
976 -459 -160 997 -406 -96
992 -506 -160 1039 -402 -96
-330 64 -160 418 159 -96
654 -317 -160 672 -388 -96
886 -894 -160 809 -882 -96
251 -416 -160 85 -738 -120
176 24 -160 -89 97 -96
-550 96 -160 341 118 -96
673 415 -160 592 387 -96
-177 76 -160 -549 40 -96
950 -206 -160 1049 -593 -96
91 49 -160 101 -1026 -160
-543 -360 -148 -578 -139 -96
674 -456 -160 -54 -530 -96
95 -742 -184 -93 -887 -216
93 69 -160 -275 56 -96
894 -863 -160 935 -676 -96
969 -219 -160 895 -863 -113
515 -416 -160 932 -444 -96
661 -575 -160 666 -477 -96
997 -1125 -197 982 -189 -96
732 221 -160 415 73 -96
597 401 -160 543 645 -96
633 871 -160 852 952 -96
-441 74 -160 -465 4 -96
1036 126 -160 906 -95 -96
1706 161 -160 1254 176 -96
418 -546 -160 334 -494 -96
1345 972 -160 772 993 -96
1345 973 -160 560 990 -99
510 -940 -224 813 -878 -113
1040 64 -160 970 -283 -96
1022 47 -160 898 -608 -96
958 -436 -160 963 42 -96
1417 -231 -160 1079 -161 -96
32 108 -160 -38 85 -96
29 288 -160 9 84 -96
2049 -242 -160 2302 -368 -113
1686 -456 -160 1654 -457 -96
973 118 -160 991 -948 -96
828 -858 -160 638 -940 -137
995 -1140 -198 793 -875 -96
28 197 -160 97 290 -96
716 -513 -160 74 -618 -96
115 -533 -160 128 -1127 -160
1280 165 -160 1614 574 -96
882 -934 -160 976 -213 -113
882 -934 -160 962 114 -96
1167 -80 -160 1000 -221 -96
629 318 -160 625 643 -96
1190 -87 -160 880 -210 -96
1433 -254 -160 1214 -162 -100
947 -1143 -194 1008 120 -113
1231 -136 -160 1130 -159 -96
607 -282 -160 1142 -902 -113
961 18 -160 910 -623 -96
584 126 -160 492 146 -96
1026 -749 -160 895 -789 -96
966 -160 -160 886 -937 -113
702 -465 -160 925 -586 -96
962 -485 -160 795 -497 -96
941 -404 -160 1040 -76 -96
1059 -138 -160 1026 154 -96
98 -64 -160 111 -719 -121
1329 559 -160 1284 542 -96
-610 -64 -160 -435 159 -96
-454 65 -160 -610 -61 -96
