-768 -1856 -176 
229 -242 -152 287 -257 -96
-1056 1546 -56 -1043 1292 56
-1245 1194 8 -1283 592 -96
768 1003 -100 920 980 -55
866 2226 0 944 2105 64
460 317 -160 646 351 -96
177 -399 -152 217 -188 -88
679 2010 0 747 771 -67
523 2069 0 -741 1854 72
-415 968 -160 199 759 -96
-24 725 -160 -139 1151 -96
-104 2536 -64 -154 1067 -96
666 1944 0 739 1495 25
-517 2125 -152 -702 2140 -105
-32 2544 -64 -137 1457 -96
-70 2540 -64 -124 1859 -96
-921 2107 -152 -445 2119 -88
712 358 -160 831 1928 64
397 763 -160 -506 941 -96
674 1870 2 691 1623 41
659 1926 0 695 1716 47
288 2037 0 197 2424 64
544 2144 0 854 2201 64
976 363 -142 145 360 -78
-490 1934 0 1002 2096 192
940 2101 128 -278 2022 72
662 2163 128 919 1920 192
793 2242 0 732 2212 64
962 2417 128 899 2518 171
-985 1688 -152 -1140 1793 -88
-1190 1531 -104 -1112 1809 -105
373 285 -152 504 390 -96
-809 625 8 -912 2032 72
-325 1876 0 258 2219 64
-302 -594 -152 -291 -446 -88
-328 -486 -160 -272 -589 -88
505 420 -152 839 290 -88
-831 760 8 -783 598 55
951 257 -152 552 395 -96
969 335 -142 508 388 -96
-406 377 8 -312 396 72
-568 544 8 -586 747 72
-85 944 -160 -97 908 -96
-71 870 -160 237 719 -96
-732 1064 8 -133 911 -96
156 848 -152 -745 848 55
601 343 -160 208 312 -105
241 267 -152 677 329 -96
-816 608 8 -798 1409 47
-38 2433 -64 -289 2332 72
317 2300 0 -362 1895 64
597 1362 48 809 1509 25
848 2093 0 597 1362 95
-314 439 8 -343 669 55
-454 738 8 -559 729 72
-776 583 8 -557 725 72
972 178 -152 780 488 -96
-734 848 8 -412 862 -88
-2 1159 -152 -734 848 55
736 358 -160 814 1028 -52
-379 -151 -32 -370 -811 -110
-1013 934 -160 -733 1007 -96
-1030 2110 -152 -1240 1597 -88
-123 1908 0 -163 1276 -88
-828 1535 0 -797 1901 64
821 340 -160 783 1951 64
-314 1943 0 600 2543 192
194 2230 0 -312 2320 55
-93 2007 -160 -38 2271 -32
-83 2207 -112 -66 1889 -96
859 1979 144 -256 1953 64
1007 1980 8 -866 1834 64
-138 1522 -160 -72 1852 72
423 2397 0 -738 1835 72
835 332 -160 687 1919 64
546 2498 128 -160 2544 -4
825 2062 0 631 1360 95
738 345 -160 825 2062 47
669 2410 128 787 2379 192
618 2322 128 650 2308 192
589 2385 0 782 2544 95
807 340 -160 749 2200 179
740 2166 128 788 841 -54
-756 2032 8 902 1872 192
639 2199 0 911 2201 64
572 2481 128 502 2466 199
569 2355 0 675 2314 64
-125 2382 -64 544 2478 192
896 2355 0 612 2509 74
661 2527 10 916 2337 64
-732 902 8 -132 963 -96
248 802 -160 -732 869 72
103 700 -160 -151 1147 -96
544 361 -160 351 410 -96
-776 1848 0 -854 983 64
295 744 -160 7 710 -113
-985 982 -160 -1328 828 -96
946 -36 -152 931 212 -88
759 -423 -160 900 -735 -88
946 78 -152 902 356 -103
-797 603 8 -769 1896 64
-1 1424 -148 -38 1695 -96
-912 1499 8 -764 1907 64
-195 1781 -152 -31 1424 -88
-340 2047 -152 -718 2113 -88
-153 1951 0 -804 1940 58
941 -82 -152 916 -2 -88
-706 910 -160 -687 876 -88
255 2254 0 464 2071 64
-339 1850 8 254 2252 64
-41 2514 -64 222 2496 64
372 2064 0 -581 2056 72
561 2500 128 103 2449 45
943 2177 0 863 2238 47
-1031 2029 -152 -981 2087 -88
942 1946 128 669 2043 64
-728 1867 8 -705 1535 72
-192 1118 -152 54 750 -96
256 761 -160 -365 947 -96
-756 1100 0 -4 776 -96
240 771 -160 -845 1099 64
-72 2522 -64 -102 1227 -113
-70 2543 -64 -109 1945 -96
