-663 1436 32 attacker
514 1317 96 victim
-80 -1461 64 attacker
-158 -1531 128 victim
465 1217 32 attacker
66 1355 96 victim
-384 -1760 64 attacker
-336 -1648 128 victim
-338 1397 32 attacker
47 1710 96 victim
-973 496 32 attacker
-1015 864 -125 victim
115 1368 32 attacker
39 2036 96 victim
772 2889 4 attacker
1536 3008 -61 victim
196 246 3 attacker
349 483 64 victim
0 2047 32 attacker
234 2189 72 victim
644 3458 -93 attacker
1072 3504 -61 victim
160 -1712 64 attacker
352 -1600 128 victim
-86 1533 32 attacker
287 1231 96 victim
-881 1347 0 attacker
-315 1424 96 victim
-866 1364 0 attacker
144 1520 96 victim
460 1299 32 attacker
-170 1373 96 victim
23 2094 8 attacker
-11 1656 96 victim
2192 273 8 attacker
2258 899 128 victim
-1163 1663 -191 attacker
-1025 379 96 victim
-1040 472 32 attacker
-744 477 96 victim
-1121 1661 -192 attacker
-960 475 96 victim
-902 496 32 attacker
-1103 1180 -128 victim
-1141 1733 -192 attacker
-1110 1264 -145 victim
-864 800 0 attacker
-1226 1520 -121 victim
-926 1459 -175 attacker
-1067 1098 -128 victim
1445 442 17 attacker
1963 690 65 victim
-112 1792 32 attacker
-10 1904 96 victim
91 1925 32 attacker
58 2174 64 victim
-51 2131 0 attacker
94 1741 96 victim
417 -421 23 attacker
345 -921 104 victim
-1286 2234 0 attacker
58 2182 64 victim
558 2268 0 attacker
528 2374 69 victim
