705 -876 -160 attacker
434 -902 -160 victim
1036 -812 -160 attacker
821 -877 -96 victim
114 -629 -160 attacker
110 -907 -160 victim
312 -452 -160 attacker
374 -518 -96 victim
711 -543 -160 attacker
436 -541 -96 victim
-1563 -961 -240 attacker
-1627 -793 -193 victim
443 -852 -224 attacker
440 -1089 -160 victim
174 -378 -160 attacker
254 -490 -113 victim
368 112 -160 attacker
-389 110 -113 victim
115 -620 -160 attacker
53 304 -96 victim
653 80 -160 attacker
694 -559 -113 victim
548 -567 -160 attacker
697 -377 -96 victim
1036 -863 -160 attacker
941 -460 -96 victim
938 -526 -160 attacker
1072 -854 -80 victim
1036 -901 -160 attacker
977 -10 -96 victim
905 -471 -160 attacker
861 -541 -96 victim
654 -362 -160 attacker
849 -530 -96 victim
1197 460 -160 attacker
1230 136 -96 victim
1590 -494 -160 attacker
1804 -472 -94 victim
1872 149 -160 attacker
1662 -59 -96 victim
942 41 -160 attacker
919 -917 -96 victim
87 -933 -224 attacker
16 288 -113 victim
-55 118 -160 attacker
150 133 -96 victim
913 -534 -160 attacker
467 -416 -113 victim
1441 976 -160 attacker
1336 732 -94 victim
1335 -549 -160 attacker
1799 -395 -96 victim
1333 -548 -160 attacker
1841 -425 -96 victim
17 -2026 -336 attacker
97 -1587 -272 victim
-1077 -1867 -336 attacker
-1168 -1001 -260 victim
657 -325 -160 attacker
596 976 -96 victim
896 906 -160 attacker
1405 892 -113 victim
1355 576 -160 attacker
1369 753 -96 victim
525 -456 -160 attacker
474 -416 -113 victim
898 -514 -160 attacker
913 -628 -96 victim
651 -576 -160 attacker
714 349 -96 victim
13 -1062 -224 attacker
134 -903 -160 victim
76 -588 -160 attacker
272 -464 -96 victim
976 -459 -160 attacker
997 -406 -96 victim
992 -506 -160 attacker
1039 -402 -96 victim
-330 64 -160 attacker
418 159 -96 victim
654 -317 -160 attacker
672 -388 -96 victim
886 -894 -160 attacker
809 -882 -96 victim
251 -416 -160 attacker
85 -738 -120 victim
176 24 -160 attacker
-89 97 -96 victim
-550 96 -160 attacker
341 118 -96 victim
673 415 -160 attacker
592 387 -96 victim
-177 76 -160 attacker
-549 40 -96 victim
950 -206 -160 attacker
1049 -593 -96 victim
91 49 -160 attacker
101 -1026 -160 victim
-543 -360 -148 attacker
-578 -139 -96 victim
674 -456 -160 attacker
-54 -530 -96 victim
95 -742 -184 attacker
-93 -887 -216 victim
93 69 -160 attacker
-275 56 -96 victim
894 -863 -160 attacker
935 -676 -96 victim
969 -219 -160 attacker
895 -863 -113 victim
515 -416 -160 attacker
932 -444 -96 victim
661 -575 -160 attacker
666 -477 -96 victim
997 -1125 -197 attacker
982 -189 -96 victim
732 221 -160 attacker
415 73 -96 victim
597 401 -160 attacker
543 645 -96 victim
633 871 -160 attacker
852 952 -96 victim
-441 74 -160 attacker
-465 4 -96 victim
1036 126 -160 attacker
906 -95 -96 victim
1706 161 -160 attacker
1254 176 -96 victim
418 -546 -160 attacker
334 -494 -96 victim
1345 972 -160 attacker
772 993 -96 victim
1345 973 -160 attacker
560 990 -99 victim
510 -940 -224 attacker
813 -878 -113 victim
1040 64 -160 attacker
970 -283 -96 victim
1022 47 -160 attacker
898 -608 -96 victim
958 -436 -160 attacker
963 42 -96 victim
1417 -231 -160 attacker
1079 -161 -96 victim
32 108 -160 attacker
-38 85 -96 victim
29 288 -160 attacker
9 84 -96 victim
2049 -242 -160 attacker
2302 -368 -113 victim
1686 -456 -160 attacker
1654 -457 -96 victim
973 118 -160 attacker
991 -948 -96 victim
828 -858 -160 attacker
638 -940 -137 victim
995 -1140 -198 attacker
793 -875 -96 victim
28 197 -160 attacker
97 290 -96 victim
716 -513 -160 attacker
74 -618 -96 victim
115 -533 -160 attacker
128 -1127 -160 victim
1280 165 -160 attacker
1614 574 -96 victim
882 -934 -160 attacker
976 -213 -113 victim
882 -934 -160 attacker
962 114 -96 victim
1167 -80 -160 attacker
1000 -221 -96 victim
629 318 -160 attacker
625 643 -96 victim
1190 -87 -160 attacker
880 -210 -96 victim
1433 -254 -160 attacker
1214 -162 -100 victim
947 -1143 -194 attacker
1008 120 -113 victim
1231 -136 -160 attacker
1130 -159 -96 victim
607 -282 -160 attacker
1142 -902 -113 victim
961 18 -160 attacker
910 -623 -96 victim
584 126 -160 attacker
492 146 -96 victim
1026 -749 -160 attacker
895 -789 -96 victim
966 -160 -160 attacker
886 -937 -113 victim
702 -465 -160 attacker
925 -586 -96 victim
962 -485 -160 attacker
795 -497 -96 victim
941 -404 -160 attacker
1040 -76 -96 victim
1059 -138 -160 attacker
1026 154 -96 victim
98 -64 -160 attacker
111 -719 -121 victim
1329 559 -160 attacker
1284 542 -96 victim
-610 -64 -160 attacker
-435 159 -96 victim
-454 65 -160 attacker
-610 -61 -96 victim
