-768 -1856 -176 attacker
 victim
229 -242 -152 attacker
287 -257 -96 victim
-1056 1546 -56 attacker
-1043 1292 56 victim
-1245 1194 8 attacker
-1283 592 -96 victim
768 1003 -100 attacker
920 980 -55 victim
866 2226 0 attacker
944 2105 64 victim
460 317 -160 attacker
646 351 -96 victim
177 -399 -152 attacker
217 -188 -88 victim
679 2010 0 attacker
747 771 -67 victim
523 2069 0 attacker
-741 1854 72 victim
-415 968 -160 attacker
199 759 -96 victim
-24 725 -160 attacker
-139 1151 -96 victim
-104 2536 -64 attacker
-154 1067 -96 victim
666 1944 0 attacker
739 1495 25 victim
-517 2125 -152 attacker
-702 2140 -105 victim
-32 2544 -64 attacker
-137 1457 -96 victim
-70 2540 -64 attacker
-124 1859 -96 victim
-921 2107 -152 attacker
-445 2119 -88 victim
712 358 -160 attacker
831 1928 64 victim
397 763 -160 attacker
-506 941 -96 victim
674 1870 2 attacker
691 1623 41 victim
659 1926 0 attacker
695 1716 47 victim
288 2037 0 attacker
197 2424 64 victim
544 2144 0 attacker
854 2201 64 victim
976 363 -142 attacker
145 360 -78 victim
-490 1934 0 attacker
1002 2096 192 victim
940 2101 128 attacker
-278 2022 72 victim
662 2163 128 attacker
919 1920 192 victim
793 2242 0 attacker
732 2212 64 victim
962 2417 128 attacker
899 2518 171 victim
-985 1688 -152 attacker
-1140 1793 -88 victim
-1190 1531 -104 attacker
-1112 1809 -105 victim
373 285 -152 attacker
504 390 -96 victim
-809 625 8 attacker
-912 2032 72 victim
-325 1876 0 attacker
258 2219 64 victim
-302 -594 -152 attacker
-291 -446 -88 victim
-328 -486 -160 attacker
-272 -589 -88 victim
505 420 -152 attacker
839 290 -88 victim
-831 760 8 attacker
-783 598 55 victim
951 257 -152 attacker
552 395 -96 victim
969 335 -142 attacker
508 388 -96 victim
-406 377 8 attacker
-312 396 72 victim
-568 544 8 attacker
-586 747 72 victim
-85 944 -160 attacker
-97 908 -96 victim
-71 870 -160 attacker
237 719 -96 victim
-732 1064 8 attacker
-133 911 -96 victim
156 848 -152 attacker
-745 848 55 victim
601 343 -160 attacker
208 312 -105 victim
241 267 -152 attacker
677 329 -96 victim
-816 608 8 attacker
-798 1409 47 victim
-38 2433 -64 attacker
-289 2332 72 victim
317 2300 0 attacker
-362 1895 64 victim
597 1362 48 attacker
809 1509 25 victim
848 2093 0 attacker
597 1362 95 victim
-314 439 8 attacker
-343 669 55 victim
-454 738 8 attacker
-559 729 72 victim
-776 583 8 attacker
-557 725 72 victim
972 178 -152 attacker
780 488 -96 victim
-734 848 8 attacker
-412 862 -88 victim
-2 1159 -152 attacker
-734 848 55 victim
736 358 -160 attacker
814 1028 -52 victim
-379 -151 -32 attacker
-370 -811 -110 victim
-1013 934 -160 attacker
-733 1007 -96 victim
-1030 2110 -152 attacker
-1240 1597 -88 victim
-123 1908 0 attacker
-163 1276 -88 victim
-828 1535 0 attacker
-797 1901 64 victim
821 340 -160 attacker
783 1951 64 victim
-314 1943 0 attacker
600 2543 192 victim
194 2230 0 attacker
-312 2320 55 victim
-93 2007 -160 attacker
-38 2271 -32 victim
-83 2207 -112 attacker
-66 1889 -96 victim
859 1979 144 attacker
-256 1953 64 victim
1007 1980 8 attacker
-866 1834 64 victim
-138 1522 -160 attacker
-72 1852 72 victim
423 2397 0 attacker
-738 1835 72 victim
835 332 -160 attacker
687 1919 64 victim
546 2498 128 attacker
-160 2544 -4 victim
825 2062 0 attacker
631 1360 95 victim
738 345 -160 attacker
825 2062 47 victim
669 2410 128 attacker
787 2379 192 victim
618 2322 128 attacker
650 2308 192 victim
589 2385 0 attacker
782 2544 95 victim
807 340 -160 attacker
749 2200 179 victim
740 2166 128 attacker
788 841 -54 victim
-756 2032 8 attacker
902 1872 192 victim
639 2199 0 attacker
911 2201 64 victim
572 2481 128 attacker
502 2466 199 victim
569 2355 0 attacker
675 2314 64 victim
-125 2382 -64 attacker
544 2478 192 victim
896 2355 0 attacker
612 2509 74 victim
661 2527 10 attacker
916 2337 64 victim
-732 902 8 attacker
-132 963 -96 victim
248 802 -160 attacker
-732 869 72 victim
103 700 -160 attacker
-151 1147 -96 victim
544 361 -160 attacker
351 410 -96 victim
-776 1848 0 attacker
-854 983 64 victim
295 744 -160 attacker
7 710 -113 victim
-985 982 -160 attacker
-1328 828 -96 victim
946 -36 -152 attacker
931 212 -88 victim
759 -423 -160 attacker
900 -735 -88 victim
946 78 -152 attacker
902 356 -103 victim
-797 603 8 attacker
-769 1896 64 victim
-1 1424 -148 attacker
-38 1695 -96 victim
-912 1499 8 attacker
-764 1907 64 victim
-195 1781 -152 attacker
-31 1424 -88 victim
-340 2047 -152 attacker
-718 2113 -88 victim
-153 1951 0 attacker
-804 1940 58 victim
941 -82 -152 attacker
916 -2 -88 victim
-706 910 -160 attacker
-687 876 -88 victim
255 2254 0 attacker
464 2071 64 victim
-339 1850 8 attacker
254 2252 64 victim
-41 2514 -64 attacker
222 2496 64 victim
372 2064 0 attacker
-581 2056 72 victim
561 2500 128 attacker
103 2449 45 victim
943 2177 0 attacker
863 2238 47 victim
-1031 2029 -152 attacker
-981 2087 -88 victim
942 1946 128 attacker
669 2043 64 victim
-728 1867 8 attacker
-705 1535 72 victim
-192 1118 -152 attacker
54 750 -96 victim
256 761 -160 attacker
-365 947 -96 victim
-756 1100 0 attacker
-4 776 -96 victim
240 771 -160 attacker
-845 1099 64 victim
-72 2522 -64 attacker
-102 1227 -113 victim
-70 2543 -64 attacker
-109 1945 -96 victim
