-663 1436 32 514 1317 96
-80 -1461 64 -158 -1531 128
465 1217 32 66 1355 96
-384 -1760 64 -336 -1648 128
-338 1397 32 47 1710 96
-973 496 32 -1015 864 -125
115 1368 32 39 2036 96
772 2889 4 1536 3008 -61
196 246 3 349 483 64
0 2047 32 234 2189 72
644 3458 -93 1072 3504 -61
160 -1712 64 352 -1600 128
-86 1533 32 287 1231 96
-881 1347 0 -315 1424 96
-866 1364 0 144 1520 96
460 1299 32 -170 1373 96
23 2094 8 -11 1656 96
2192 273 8 2258 899 128
-1163 1663 -191 -1025 379 96
-1040 472 32 -744 477 96
-1121 1661 -192 -960 475 96
-902 496 32 -1103 1180 -128
-1141 1733 -192 -1110 1264 -145
-864 800 0 -1226 1520 -121
-926 1459 -175 -1067 1098 -128
1445 442 17 1963 690 65
-112 1792 32 -10 1904 96
91 1925 32 58 2174 64
-51 2131 0 94 1741 96
417 -421 23 345 -921 104
-1286 2234 0 58 2182 64
558 2268 0 528 2374 69
