1412 612 -216 attacker
1372 779 -152 victim
1348 952 -216 attacker
1243 1603 -159 victim
1305 1489 -223 attacker
1486 1587 -160 victim
79 322 -225 attacker
-64 632 -157 victim
-655 913 -216 attacker
-744 1291 -159 victim
-848 1437 -221 attacker
-778 1016 -152 victim
473 -436 -222 attacker
577 -396 -158 victim
1848 19 -216 attacker
1917 -549 -182 victim
345 -1138 -352 attacker
-186 -1346 -305 victim
-281 1479 -216 attacker
-545 1540 -159 victim
-605 -1737 -104 attacker
465 -1074 -144 victim
-952 -1771 -152 attacker
-965 -565 -32 victim
-930 -1674 -152 attacker
-1016 -605 -32 victim
-16 -1615 -352 attacker
-137 -1185 -288 victim
1008 -256 -216 attacker
-94 101 -152 victim
1009 -255 -216 attacker
-14 261 -4 victim
1355 754 -216 attacker
1453 572 -152 victim
1855 442 -216 attacker
1639 523 -152 victim
1806 306 -216 attacker
1774 308 -152 victim
958 526 -216 attacker
685 648 -152 victim
1297 699 -216 attacker
1392 450 -152 victim
827 295 -223 attacker
-428 427 -159 victim
-343 701 -223 attacker
-112 777 -156 victim
491 -235 -225 attacker
595 -359 -158 victim
838 -895 -302 attacker
749 -1034 -296 victim
1353 -1113 -352 attacker
1392 -946 -288 victim
1185 -1728 -276 attacker
1345 -1263 -277 victim
175 -1207 -352 attacker
-499 -1035 -288 victim
-123 -861 -324 attacker
205 -836 -260 victim
736 -1027 -360 attacker
22 -855 -260 victim
1353 764 -216 attacker
1242 1494 -159 victim
1356 947 -216 attacker
1245 1686 -158 victim
1251 1676 -223 attacker
692 1547 -177 victim
1327 948 -216 attacker
1339 1294 -152 victim
1026 1437 -216 attacker
1250 1408 -152 victim
1637 587 -216 attacker
414 583 -152 victim
-429 -836 -324 attacker
-449 -1061 -288 victim
166 -1088 -352 attacker
-417 -1255 -296 victim
-571 -836 -309 attacker
-539 -857 -257 victim
1037 -634 -222 attacker
984 -675 -158 victim
1859 -1735 -324 attacker
1757 -1744 -260 victim
-1456 1488 -227 attacker
-1536 1504 -161 victim
-358 172 -222 attacker
28 380 -178 victim
595 283 -223 attacker
272 547 -14 victim
-1670 1379 -227 attacker
-54 1471 -152 victim
428 720 40 attacker
396 746 104 victim
-1064 1391 -224 attacker
-1514 1515 -160 victim
-644 -861 -270 attacker
-359 -867 -260 victim
-1036 -595 -96 attacker
-1003 -1100 -88 victim
1368 -1673 -324 attacker
868 -1691 -76 victim
1732 -1464 -324 attacker
1904 -1168 -220 victim
-224 -1369 -352 attacker
52 -1602 -305 victim
1275 -1416 -352 attacker
1361 -1616 -288 victim
1345 587 -216 attacker
1287 697 -152 victim
1444 537 -216 attacker
1330 941 -152 victim
1341 1031 -216 attacker
1266 1495 -176 victim
1401 1623 -222 attacker
1320 1223 -152 victim
1253 1232 -216 attacker
1378 1481 -155 victim
690 -973 -352 attacker
1092 -908 -198 victim
1125 -1730 -250 attacker
1755 -1682 -260 victim
957 -577 -222 attacker
968 -699 -158 victim
960 -1175 -352 attacker
-169 -1179 -305 victim
624 -355 -222 attacker
414 -273 -158 victim
347 20 -216 attacker
-229 -59 -169 victim
-381 103 -216 attacker
347 195 -159 victim
832 166 -223 attacker
960 129 -152 victim
1097 218 -67 attacker
631 104 -152 victim
1709 203 -69 attacker
1781 156 -167 victim
