341 1765 96 attacker
338 2364 160 victim
407 2179 -128 attacker
1289 2246 71 victim
975 2241 13 attacker
415 2271 -43 victim
609 2522 96 attacker
344 2011 160 victim
345 1864 96 attacker
609 2522 143 victim
734 2595 96 attacker
898 2649 160 victim
1248 2639 96 attacker
1501 2582 139 victim
-1913 2005 12 attacker
-1961 1762 96 victim
-1196 1048 0 attacker
-1852 1388 96 victim
-1159 1108 -16 attacker
-1462 1129 96 victim
-1777 1886 10 attacker
-1827 1990 75 victim
-1743 1886 10 attacker
-1761 1957 74 victim
-1430 2617 96 attacker
-1523 2018 66 victim
-1955 1339 32 attacker
-1936 1560 96 victim
-501 1060 -57 attacker
28 334 66 victim
-324 878 -13 attacker
-151 632 72 victim
-304 920 -18 attacker
-192 669 71 victim
208 111 4 attacker
-138 519 71 victim
488 67 6 attacker
-205 472 69 victim
1113 1061 3 attacker
1515 1414 55 victim
167 -564 5 attacker
187 -377 69 victim
1417 2621 90 attacker
1224 2598 160 victim
-1971 1884 1 attacker
-1843 1892 69 victim
-1649 983 32 attacker
-1682 948 96 victim
1418 1306 1 attacker
591 723 66 victim
-1712 706 32 attacker
-1590 441 70 victim
-1681 687 32 attacker
-1359 592 79 victim
-1044 1210 -80 attacker
-1032 1346 -48 victim
-1746 1105 32 attacker
-1373 49 74 victim
-1712 876 32 attacker
-1508 442 71 victim
-1415 1186 32 attacker
-1714 665 96 victim
-1450 184 7 attacker
-1702 53 69 victim
699 810 6 attacker
1049 873 67 victim
-489 1052 -57 attacker
-401 -75 51 victim
1098 835 2 attacker
1594 1844 83 victim
-418 -471 14 attacker
-405 -173 72 victim
371 2139 -127 attacker
1464 2127 52 victim
1309 2030 4 attacker
715 2146 -3 victim
1383 2031 5 attacker
160 2384 -63 victim
-1659 879 32 attacker
-1684 692 96 victim
-483 217 3 attacker
-170 1433 64 victim
1023 2609 96 attacker
273 1891 160 victim
1058 2658 96 attacker
1048 2870 202 victim
334 1946 96 attacker
1019 2703 160 victim
567 2684 96 attacker
400 1905 160 victim
641 2254 -79 attacker
352 2304 -63 victim
565 2247 -102 attacker
256 2304 -62 victim
1549 2694 107 attacker
1284 1111 65 victim
720 957 1 attacker
993 791 68 victim
1395 2191 7 attacker
1311 1843 56 victim
-368 1365 -123 attacker
-397 666 68 victim
133 2421 -125 attacker
1585 1900 83 victim
1653 1808 33 attacker
1166 2090 75 victim
80 2393 -119 attacker
1318 2007 68 victim
345 2015 96 attacker
1107 2731 160 victim
-1346 2238 3 attacker
-2026 1921 48 victim
1550 3040 143 attacker
1475 2003 69 victim
1550 3040 143 attacker
1341 1597 66 victim
571 702 1 attacker
1086 1181 80 victim
654 791 6 attacker
1744 929 111 victim
1399 834 3 attacker
1550 3040 207 victim
1654 625 64 attacker
1283 2720 175 victim
1737 627 64 attacker
1273 2071 72 victim
1630 2031 28 attacker
1489 1843 68 victim
1238 787 2 attacker
1607 1887 71 victim
-424 -964 136 attacker
-419 2161 -80 victim
-163 1533 0 attacker
-641 1341 -65 victim
428 2261 96 attacker
1128 2122 69 victim
-502 -904 140 attacker
-340 949 30 victim
338 2187 96 attacker
1746 2023 155 victim
-470 1008 -49 attacker
-224 755 66 victim
1456 1377 2 attacker
1147 1079 65 victim
614 1013 4 attacker
1525 1237 78 victim
1206 826 2 attacker
1360 1446 65 victim
1525 1897 8 attacker
1474 1626 66 victim
-1653 996 32 attacker
-1972 1258 96 victim
-849 1453 -112 attacker
-966 1451 -48 victim
-1808 -179 29 attacker
-1666 894 96 victim
-1844 1270 32 attacker
-1476 1154 96 victim
-566 2181 -124 attacker
-523 1848 -78 victim
1600 1452 21 attacker
1306 1110 65 victim
571 2690 96 attacker
1315 2589 151 victim
826 2577 96 attacker
670 2649 143 victim
283 1487 0 attacker
317 1861 160 victim
652 758 5 attacker
1569 1410 81 victim
1245 431 32 attacker
1296 2493 113 victim
1263 2950 132 attacker
1328 1112 65 victim
1247 2916 132 attacker
1365 828 68 victim
-1750 1798 11 attacker
-1621 1999 69 victim
-1750 1798 11 attacker
-1687 2584 72 victim
-1781 1980 11 attacker
-1750 1798 75 victim
-540 612 12 attacker
-625 404 73 victim
-1118 1083 -24 attacker
-1239 1087 88 victim
-2095 2908 32 attacker
-1965 1485 96 victim
-2075 2910 32 attacker
-1979 1326 96 victim
-2069 2914 32 attacker
-1738 1895 74 victim
-1928 2941 32 attacker
-2092 2986 96 victim
-1683 1109 32 attacker
-1821 1039 96 victim
-1906 1257 32 attacker
-1587 1132 96 victim
-1641 961 32 attacker
-1868 1236 96 victim
-2160 1810 12 attacker
-1906 1850 66 victim
-1488 -3 96 attacker
-1522 -112 100 victim
-1772 1820 10 attacker
-1799 2084 76 victim
-1928 1075 32 attacker
-1940 1794 96 victim
-405 -915 120 attacker
-440 1504 -58 victim
706 1013 2 attacker
1307 1051 65 victim
341 2081 -125 attacker
1269 2102 72 victim
357 1932 96 attacker
339 1379 64 victim
1488 3056 141 attacker
1427 870 66 victim
1280 2958 132 attacker
1222 2823 194 victim
253 2385 -127 attacker
158 2247 -62 victim
-1231 1062 16 attacker
-1578 1053 96 victim
287 1823 96 attacker
297 1633 72 victim
379 1891 96 attacker
296 2088 160 victim
-412 1392 -123 attacker
-412 1648 -62 victim
1463 2281 12 attacker
807 2211 12 victim
-5 2158 -126 attacker
501 2237 -58 victim
76 2201 -126 attacker
1008 2384 75 victim
