1412 612 -216 1372 779 -152
1348 952 -216 1243 1603 -159
1305 1489 -223 1486 1587 -160
79 322 -225 -64 632 -157
-655 913 -216 -744 1291 -159
-848 1437 -221 -778 1016 -152
473 -436 -222 577 -396 -158
1848 19 -216 1917 -549 -182
345 -1138 -352 -186 -1346 -305
-281 1479 -216 -545 1540 -159
-605 -1737 -104 465 -1074 -144
-952 -1771 -152 -965 -565 -32
-930 -1674 -152 -1016 -605 -32
-16 -1615 -352 -137 -1185 -288
1008 -256 -216 -94 101 -152
1009 -255 -216 -14 261 -4
1355 754 -216 1453 572 -152
1855 442 -216 1639 523 -152
1806 306 -216 1774 308 -152
958 526 -216 685 648 -152
1297 699 -216 1392 450 -152
827 295 -223 -428 427 -159
-343 701 -223 -112 777 -156
491 -235 -225 595 -359 -158
838 -895 -302 749 -1034 -296
1353 -1113 -352 1392 -946 -288
1185 -1728 -276 1345 -1263 -277
175 -1207 -352 -499 -1035 -288
-123 -861 -324 205 -836 -260
736 -1027 -360 22 -855 -260
1353 764 -216 1242 1494 -159
1356 947 -216 1245 1686 -158
1251 1676 -223 692 1547 -177
1327 948 -216 1339 1294 -152
1026 1437 -216 1250 1408 -152
1637 587 -216 414 583 -152
-429 -836 -324 -449 -1061 -288
166 -1088 -352 -417 -1255 -296
-571 -836 -309 -539 -857 -257
1037 -634 -222 984 -675 -158
1859 -1735 -324 1757 -1744 -260
-1456 1488 -227 -1536 1504 -161
-358 172 -222 28 380 -178
595 283 -223 272 547 -14
-1670 1379 -227 -54 1471 -152
428 720 40 396 746 104
-1064 1391 -224 -1514 1515 -160
-644 -861 -270 -359 -867 -260
-1036 -595 -96 -1003 -1100 -88
1368 -1673 -324 868 -1691 -76
1732 -1464 -324 1904 -1168 -220
-224 -1369 -352 52 -1602 -305
1275 -1416 -352 1361 -1616 -288
1345 587 -216 1287 697 -152
1444 537 -216 1330 941 -152
1341 1031 -216 1266 1495 -176
1401 1623 -222 1320 1223 -152
1253 1232 -216 1378 1481 -155
690 -973 -352 1092 -908 -198
1125 -1730 -250 1755 -1682 -260
957 -577 -222 968 -699 -158
960 -1175 -352 -169 -1179 -305
624 -355 -222 414 -273 -158
347 20 -216 -229 -59 -169
-381 103 -216 347 195 -159
832 166 -223 960 129 -152
1097 218 -67 631 104 -152
1709 203 -69 1781 156 -167
