L 07/11/2012 - 17:33:34: "Keemak<13><STEAM_0:0:6113698><CT>" killed "Veilrap<6><STEAM_0:0:4190636><TERRORIST>" with "m4a1" (headshot) (attacker_position "1418 1306 1") (victim_position "591 723 66")
L 07/11/2012 - 17:33:36: "careymichael<11><STEAM_0:1:783955><TERRORIST>" killed "tomwall<3><STEAM_0:1:30783438><CT>" with "ak47" (attacker_position "-1712 706 32") (victim_position "-1590 441 70")
L 07/11/2012 - 17:33:42: "clutchnasty<8><STEAM_0:1:33443748><CT>" killed "careymichael<11><STEAM_0:1:783955><TERRORIST>" with "ak47" (headshot) (attacker_position "-1681 687 32") (victim_position "-1359 592 79")
L 07/11/2012 - 17:34:19: "revenger<9><STEAM_0:0:17255624><TERRORIST>" killed "Henry<12><STEAM_0:1:53104189><CT>" with "deagle" (headshot) (attacker_position "-1044 1210 -80") (victim_position "-1032 1346 -48")
L 07/11/2012 - 17:34:22: "Panarchus<2><STEAM_0:1:17858699><TERRORIST>" killed "clutchnasty<8><STEAM_0:1:33443748><CT>" with "elite" (attacker_position "-1746 1105 32") (victim_position "-1373 49 74")
L 07/11/2012 - 17:34:26: "Panarchus<2><STEAM_0:1:17858699><TERRORIST>" killed "lubahou<16><STEAM_0:1:52664969><CT>" with "ump45" (headshot) (attacker_position "-1712 876 32") (victim_position "-1508 442 71")
L 07/11/2012 - 17:34:28: "revenger<9><STEAM_0:0:17255624><TERRORIST>" killed "Panarchus<2><STEAM_0:1:17858699><TERRORIST>" with "hegrenade" (attacker_position "-1415 1186 32") (victim_position "-1714 665 96")
L 07/11/2012 - 17:34:45: "Keemak<13><STEAM_0:0:6113698><CT>" killed "revenger<9><STEAM_0:0:17255624><TERRORIST>" with "m4a1" (attacker_position "-1450 184 7") (victim_position "-1702 53 69")
L 07/11/2012 - 17:35:08: "careymichael<11><STEAM_0:1:783955><TERRORIST>" killed "tomwall<3><STEAM_0:1:30783438><CT>" with "ak47" (attacker_position "699 810 6") (victim_position "1049 873 67")
L 07/11/2012 - 17:35:09: "Henry<12><STEAM_0:1:53104189><CT>" killed "Panarchus<2><STEAM_0:1:17858699><TERRORIST>" with "m4a1" (headshot) (attacker_position "-489 1052 -57") (victim_position "-401 -75 51")
L 07/11/2012 - 17:35:15: "careymichael<11><STEAM_0:1:783955><TERRORIST>" killed "Keemak<13><STEAM_0:0:6113698><CT>" with "ak47" (attacker_position "1098 835 2") (victim_position "1594 1844 83")
L 07/11/2012 - 17:35:20: "PJofT35<7><STEAM_0:0:32612111><TERRORIST>" killed "Henry<12><STEAM_0:1:53104189><CT>" with "elite" (attacker_position "-418 -471 14") (victim_position "-405 -173 72")
L 07/11/2012 - 17:35:25: "clutchnasty<8><STEAM_0:1:33443748><CT>" killed "careymichael<11><STEAM_0:1:783955><TERRORIST>" with "aug" (headshot) (attacker_position "371 2139 -127") (victim_position "1464 2127 52")
